# table_s2.tsv -- generated by walkthrough/kit/build_table_s2.py
# DO NOT HAND-EDIT. Regenerate with: python3 walkthrough/kit/build_table_s2.py > walkthrough/kit/table_s2.tsv
# The paper's procedure table (manuscript Table S2), one row per plugin_EML_StatsGraphs/REGISTRY.tsv row. The row count is whatever the registry currently holds -- not asserted here; see this script's own docstring.
registry_name	kind	description
emlRunRepeatedMeasuresAnalysis	analysis	Parametric repeated-measures ANOVA with Greenhouse-Geisser correction and an optional post-hoc. .format$ is "wide" (one row per subject, conditions in .conditionCols$#) or "long" (.subjectCol$, .conditionCol$, .valueCol$ name the three columns).
emlRunFriedmanAnalysis	analysis	Friedman test — nonparametric repeated measures — with an optional post-hoc. .format$ is "wide" (conditions in .conditionCols$#) or "long" (.subjectCol$, .conditionCol$, .valueCol$ name the three columns).
emlRunReliabilityAnalysis	analysis	Cronbach's alpha over a set of item columns, with a confidence interval, alpha-if-item-deleted, and an optional respondent-influence check. Rows with missing items are dropped and the count is disclosed.
emlRunCategoricalAnalysis	analysis	Chi-square test of independence over two category columns, with Cramer's V and an optional Yates correction. An empty .countCol$ tallies raw rows; a named one reads pre-aggregated counts.
emlRunProportionAnalysis	analysis	One proportion with a Wilson score interval. An empty .countCol$ tallies raw rows; a named one reads pre-aggregated counts, which is how summary data such as "37 yes, 83 no" enters.
emlRunCleanData	analysis	The data-cleaning door: repairs every LEVEL 1 cell in a Table -- decimal comma, digit grouping, a bare leading point -- using the same refuse-or-repair decision the extraction procedures make at read time (RULING_DATA_CLEANING_TWO_ITEMS_2026-09-08). .mode$ is "copy" (leaves the Table untouched, repairs a new one) or "in place"; percent stays a menu-only choice in scripts/eml-check-data.praat and is never a third argument here. Reached from the "Check & repair data..." menu door (scripts/eml-check-data.praat, table mode) and emitted by the recorder (@emlRecordCleanData, stats/eml-record.praat) for both modes.
emlDrawF0Contour	drawing	F0 contour figure (EML Graphs type 1) for a Pitch object.
emlDrawWaveform	drawing	Waveform figure (EML Graphs type 2) for a Sound object.
emlDrawSpectrum	drawing	Spectrum figure (EML Graphs type 3) for a Spectrum object.
emlDrawLTAS	drawing	Long-term average spectrum figure (EML Graphs type 4) for an Ltas object.
emlDrawTimeSeries	drawing	Line chart of a value over time, optionally grouped (EML Graphs type 5, no confidence band).
emlDrawTimeSeriesCI	drawing	Line chart of a value over time with a confidence band (EML Graphs type 5, "Show CI" on).
emlDrawBarChart	drawing	Bar chart of a value by group, with a chosen error-bar mode (EML Graphs type 6).
emlDrawViolinPlot	drawing	Violin plot of a value by group (EML Graphs type 7).
emlDrawScatterPlot	drawing	Scatter plot of two numeric columns, optionally grouped and annotated (EML Graphs type 8).
emlDrawBoxPlot	drawing	Box plot of a value by group (EML Graphs type 9).
emlDrawHistogram	drawing	Histogram of one numeric column, optionally grouped (EML Graphs type 10).
emlDrawGroupedViolin	drawing	Violin plot of a value by two nested categorical columns (EML Graphs type 11).
emlDrawGroupedBoxPlot	drawing	Box plot of a value by two nested categorical columns (EML Graphs type 12).
emlDrawSpaghettiPlot	drawing	Spaghetti plot of one subject-per-line series across repeated conditions (EML Graphs type 13).
emlDrawQQPlot	drawing	Normal Q-Q plot for one numeric vector; an adapter computing Blom quantiles onto the shared scatter machinery. Drawn directly from the normality-check door and the wizard, not through the EML Graphs type dispatch — and, unlike the thirteen graph types, never recorded (no recorder hook of any kind wraps its call sites).
emlRunAnnotationComparison	analysis	Runs the group-comparison test (t-test/Mann-Whitney/ANOVA/Kruskal-Wallis, with Tukey/Dunn) behind a figure's statistical-annotation brackets — the second path to the same statistics as the stats menu, reached from a figure's "annotate" toggle instead of a menu command. Found only by tracing the recorder; matches no emlRun* or emlDraw* naming convention.
emlVectorsToTable	utility	Materialises named script-level Praat vectors (numeric # or string $#, any count) into one Table, one column per vector, padding any short column with blank cells. Materialise-then-substitute -- Fable's ruling on validate/probes/vectors_to_table_probe.praat.
emlToTable	utility	The object-to-table door: dispatches on the selected object's class (Table copies untouched; TableOfReal/Matrix convert via To Table: "row", the one home for that conversion; Ltas/Spectrum/Pitch/Intensity/Harmonicity build a table from their own bin/frame data; Formant uses Praat's native Down to Table; Sound converts one row per sample -- time_s from Get time from sample number, then channel_1, channel_2, ... at full double precision via Down to Matrix -> Transpose -> To TableOfReal -> To Table: "row", measured bit-for-bit against /usr/local/bin/praat6630, with .warning$ stating row count, channel count and sampling rate; any other class refuses with a named remedy). Called by the graphs form's own object dispatch, by @emlConvertForGraph's TableOfReal/Matrix arms, and by the two stats-side coercion doors @emlWrapperInit (stats/eml-output.praat, the nine stats wrappers) and @emlDescribeCoerceSelection (scripts/eml-describe-table.praat) -- both of which audit the pre-conversion source object for their own row/column-label messaging, since this procedure's TableOfReal/Matrix arms already clean the table (fill r1..rn, name Column_N) before returning. Moved here from graphs/eml-graph-procedures.praat on 9 Sep 2026, the earliest include position still downstream of its own real dependencies (@emlExtractPitchValues/@emlExtractIntensityFrames/@emlExtractHarmonicityFrames, both in this file) and upstream of every caller, stats- and graphs-side alike; a locator comment is left at the old site. Records itself through @emlRecordConvert. Graded one fixture per class arm, plus a Sound and a column-count refusal, by validate/probes/to_table_probe.praat and validate/to_table_oracle.tsv.
emlReshapeSeriesLong	utility	Reshapes several wide measurement columns into the long (time, series, value) table the time-series drawing layer is drawn from.
emlReshapeSeriesWide	utility	The mirror of emlReshapeSeriesLong — pivots a stacked (time, name, value) table into wide series columns for a two-axis time-series figure.
emlCleanConvertedTable	utility	Replaces the "?" placeholders Praat's `To Table: "row"` writes for empty row/column labels, after a TableOfReal/Matrix -> Table auto-conversion done for drawing.
emlBeginPanel	utility	Opens a drawing panel at a page origin, erasing first if asked. The one implementation both the interactive graphs dialog and a recorded/replayed script call, so a replayed page is built by the same code that built the original.
emlInitializeDrawingDefaults	utility	Initializes every rendering global to its default; the precondition every emlDraw* orchestrator assumes. Emitted unconditionally at the top of every recorder-generated script.
emlClearAnnotations	utility	Clears the figure-annotation state (brackets, text, matrix counters) before a draw. Emitted at the top of every recorder-generated script and again after each annotated figure's tail.
emlDrawAnnotations	drawing	Draws the comparison brackets a figure's statistical annotation adds. Emitted by the recorder as part of the tail of a recorded bar/violin/box/grouped-violin/grouped-box draw step that had annotation brackets on.
emlDrawAnnotationBlock	drawing	Draws the omnibus-test text block in a figure corner. Emitted alongside emlDrawAnnotations in the same recorded tail.
emlReportContext	utility	Sets the "from:" provenance line an analysis report prints. The recorder emits a call to this before every recorded analysis step, so a replayed report is labelled as coming from a recorded script rather than a menu press.
emlRecordReplayName	utility	Renames the just-read object back to the name the recording session gave it. Emitted after a recorded "read" step whose object was subsequently renamed.
emlRecordReplaySave	utility	The non-interactive twin of the Save panel — writes a figure and/or results set under a fresh timestamp with no dialog. The recorder rewrites every recorded @emlSavePanel call to this one before emitting it, so emlSavePanel itself is never the literal text a generated script carries.
emlRecordReplayRead	utility	Reopens the file a recording session read from, choosing the reader by file extension, with no file-chooser dialog. Emitted for every recorded "read" step.
emlDemoTable	utility	Builds one of the plugin's seven synthetic voice-science demo Tables from a seed. Also reachable from the "Create Demo Table..." menu door (a table-creation utility, not a drawing/graph operation, so not counted under source 2 here — see report); emitted by the recorder as a "create" step so a session that started from a demo table can rebuild it verbatim.
