producer	producer_file_line	callsite_file_line	verdict	evidence
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:349	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlOneWayAnova	eml-inferential.praat:2625	eml-analysis.praat:355	RAISED	propagates to the caller's own .error$ (`.error$ = emlOneWayAnova.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-analysis.praat:365	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-analysis.praat:368	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlCohenD	eml-inferential.praat:496	eml-analysis.praat:369	SWALLOWED-SILENT	"`if emlCohenD.error$ = """" ... endif` with no else — a failed pairwise Cohen's d simply leaves `emlOneWayAnova.dMatrix##[.i,.j]` at its zero#() default, indistinguishable from a genuine zero effect size."
emlCountGroups	eml-extract.praat:1702	eml-analysis.praat:585	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:606	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlKruskalWallis	eml-inferential.praat:3651	eml-analysis.praat:612	RAISED	propagates to the caller's own .error$ (`.error$ = emlKruskalWallis.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlDunnTest	eml-inferential.praat:3870	eml-analysis.praat:631	SWALLOWED-SILENT	"`if emlDunnTest.error$ = """" then emlKruskalWallis.rMatrix## = emlDunnTest.rMatrix##` — on failure the code silently falls back to computing a raw rank-biserial matrix instead; Dunn's specific failure reason is never shown to the user."
eml_getGroupData	eml-extract.praat:1909	eml-analysis.praat:648	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-analysis.praat:651	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlRankBiserialR	eml-inferential.praat:1703	eml-analysis.praat:652	SWALLOWED-SILENT	"`if emlRankBiserialR.error$ = """" ... endif` with no else — `emlKruskalWallis.rMatrix##[.i,.j]` stays at its zero#() default on failure, indistinguishable from r=0."
emlCountGroups	eml-extract.praat:1702	eml-analysis.praat:730	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-analysis.praat:761	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:768	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlPairwiseT	eml-inferential.praat:4145	eml-analysis.praat:781	RAISED	propagates to the caller's own .error$ (`.error$ = emlPairwiseT.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlPairwiseWilcoxon	eml-inferential.praat:4401	eml-analysis.praat:788	RAISED	propagates to the caller's own .error$ (`.error$ = emlPairwiseWilcoxon.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlScheffe	eml-inferential.praat:4607	eml-analysis.praat:795	RAISED	propagates to the caller's own .error$ (`.error$ = emlScheffe.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-analysis.praat:1008	SWALLOWED-SILENT	"checked (`if emlCountGroups.error$ <> """" ... goto PAIR_DESCR_DONE`) but the failure branch prints nothing — the group-descriptives block is just skipped silently."
eml_getGroupData	eml-extract.praat:1909	eml-analysis.praat:1040	SWALLOWED-DISCLOSED	"`if eml_getGroupData.error$ <> """" then .nG = 0 / .meanTxt$ = ""n/a"" / .sdTxt$ = ""n/a""` — the group's report row visibly shows ""n/a"" rather than a number, though the specific reason text itself is not printed."
emlTwoWayAnova	eml-inferential.praat:3151	eml-analysis.praat:1589	RAISED	propagates to the caller's own .error$ (`.error$ = emlTwoWayAnova.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:1673	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:1678	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlExtractPairedColumns	eml-extract.praat:335	eml-analysis.praat:1688	RAISED	propagates to the caller's own .error$ (`.error$ = emlExtractPairedColumns.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlTTestPaired	eml-inferential.praat:325	eml-analysis.praat:1729	SWALLOWED-SILENT	"`.failParametric$ = emlTTestPaired.error$` is only ever read inside the `.ranSomething = 0` (BOTH tests failed) branch. When only the t-test fails while Wilcoxon succeeds (""both"" mode), .failParametric$ is computed but never checked or printed — a silent partial failure (contrast with the two-group case at line 185, which does print ""Parametric results omitted..."" for the same scenario)."
emlCohenDz	eml-inferential.praat:1380	eml-analysis.praat:1730	UNCHECKED	`@emlTTestPaired: .v1#, .v2#, 2` / `@emlCohenDz: .v1#, .v2#` — only emlTTestPaired.error$ is captured (`.failParametric$ = emlTTestPaired.error$`); emlCohenDz.error$ is never read at all, relying on the unstated assumption that both fail under identical conditions.
emlWilcoxonSignedRank	eml-inferential.praat:1457	eml-analysis.praat:1735	SWALLOWED-SILENT	"same gap as emlTTestPaired above: `.failNonparametric$ = emlWilcoxonSignedRank.error$` is read only in the total-failure branch; a Wilcoxon-only failure in ""both"" mode is never disclosed."
emlMatchedPairsR	eml-inferential.praat:1789	eml-analysis.praat:1736	UNCHECKED	`@emlWilcoxonSignedRank: .v1#, .v2#, 2` / `@emlMatchedPairsR: .v1#, .v2#, 2` — only emlWilcoxonSignedRank.error$ is captured (`.failNonparametric$ = emlWilcoxonSignedRank.error$`); emlMatchedPairsR.error$ is never read.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:1896	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:1901	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlExtractPairedColumns	eml-extract.praat:335	eml-analysis.praat:1910	RAISED	propagates to the caller's own .error$ (`.error$ = emlExtractPairedColumns.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlPearsonCorrelation	eml-inferential.praat:701	eml-analysis.praat:1936	SWALLOWED-DISCLOSED	"`.pearErr$ = emlPearsonCorrelation.error$`, restored into `emlPearsonCorrelation.error$` and passed to @emlReportCorrelationAnalysis; per the in-code comment: ""The Pearson branch already prints its own error, so it is not repeated"" (reporter defined outside stats/)."
emlSpearmanCorrelation	eml-inferential.praat:827	eml-analysis.praat:1944	SWALLOWED-DISCLOSED	"`.spearErr$ = emlSpearmanCorrelation.error$`, later: `if .spearErr$ <> """" then appendInfoLine: ""  Spearman correlation not computed: "" + .spearErr$` — comment: ""the reporter's Spearman branch has no else-branch ... Surface it here."""
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:2065	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlExtractColumn	eml-extract.praat:69	eml-analysis.praat:2071	RAISED	propagates to the caller's own .error$ (`.error$ = emlExtractColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:2191	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:2195	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlLinearRegression	eml-inferential.praat:5563	eml-analysis.praat:2232	RAISED	propagates to the caller's own .error$ (`.error$ = emlLinearRegression.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:2527	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlSkewness	eml-core-descriptive.praat:294	eml-analysis.praat:2563	UNCHECKED	"n>=3 is not guaranteed at this call (only n>=3 total valid values is checked above; n=3 makes kurtosis fail, not skewness) — but more importantly the ""all values identical"" error path is always reachable and .error$ is never read: `@emlSkewness: .data#` / `.skewness = emlSkewness.result` (no error check)."
emlKurtosis	eml-core-descriptive.praat:328	eml-analysis.praat:2565	UNCHECKED	n=3 is reachable here (guard above only requires n>=3) and emlKurtosis requires n>=4: `@emlKurtosis: .data#` / `.kurtosis = emlKurtosis.result` — emlKurtosis.error$ is never read.
emlShapiroWilk	eml-core-descriptive.praat:722	eml-analysis.praat:2575	SWALLOWED-DISCLOSED	`.swError$ = emlShapiroWilk.error$` is passed into @emlNormalityRecommendation (`.swP, .swError$`) and its .swUsable/.swFail outputs, then on into @emlDeclareNormalityResult (`... .swError$, .skewness, ...`), which is the documented mechanism (see the block comment at eml-analysis.praat:2338-2361) for surfacing why Shapiro-Wilk was not usable.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:2807	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlAuditColumn	eml-extract.praat:1170	eml-analysis.praat:2823	NOT-APPLICABLE	column existence already verified a few lines above via `.ci = Get column index ... if .ci = 0 ... goto END_EXTRACT_COND`, and numeric-ness required via @emlRequireNumericColumn, before this loop runs.
emlExtractConditionMatrix	eml-analysis.praat:2767	eml-analysis.praat:3211	RAISED	propagates to the caller's own .error$ (`.error$ = emlExtractConditionMatrix.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRMAnovaTest	eml-analysis.praat:3012	eml-analysis.praat:3221	RAISED	propagates to the caller's own .error$ (`.error$ = emlRMAnovaTest.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlExtractConditionMatrix	eml-analysis.praat:2767	eml-analysis.praat:3407	RAISED	propagates to the caller's own .error$ (`.error$ = emlExtractConditionMatrix.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlTTestPaired	eml-inferential.praat:325	eml-analysis.praat:3561	SWALLOWED-DISCLOSED	"`.pairErr$ = emlTTestPaired.error$`, stored as `.pairNote$[.pairIdx]` and later printed per pair: `if .pairNote$[.pp] <> """" then appendInfoLine: ... + "": "" + .pairNote$[.pp]`."
emlWilcoxonSignedRank	eml-inferential.praat:1457	eml-analysis.praat:3565	SWALLOWED-DISCLOSED	same mechanism as emlTTestPaired above (nonparametric branch), disclosed via the same per-pair `.pairNote$` printout.
emlBonferroni	eml-inferential.praat:1866	eml-analysis.praat:3586	UNCHECKED	"`@emlBonferroni: .rawP#` / `.adj# = emlBonferroni.adjusted#` — .error$ (""Empty p-value vector."" / ""All p-values are undefined."") is never read; .adj# is used regardless."
emlBenjaminiHochberg	eml-inferential.praat:2034	eml-analysis.praat:3589	UNCHECKED	same block, elsif branch: `@emlBenjaminiHochberg: .rawP#` / `.adj# = emlBenjaminiHochberg.adjusted#`, no error check.
emlHolm	eml-inferential.praat:1935	eml-analysis.praat:3592	UNCHECKED	same block, else branch: `@emlHolm: .rawP#` / `.adj# = emlHolm.adjusted#`, no error check.
emlOLSInfluence	eml-inferential.praat:5876	eml-analysis.praat:4403	SWALLOWED-SILENT	"`if emlOLSInfluence.error$ = """" ... endif` with no else — on failure the influence-diagnostic columns (.fitted, .resid, .hat, ...) are simply never augmented, with no note explaining why."
emlSkewness	eml-core-descriptive.praat:294	eml-core-descriptive.praat:645	UNCHECKED	@emlDescribe runs for any n>=1 (only n=0 is special-cased): `@emlSkewness: .data#` / `.skewness = emlSkewness.result` with no error check, so n=1 or n=2 silently yields skewness=undefined with the reason discarded.
emlKurtosis	eml-core-descriptive.praat:328	eml-core-descriptive.praat:647	UNCHECKED	same procedure, same pattern: `@emlKurtosis: .data#` / `.kurtosis = emlKurtosis.result`, no error check; n<4 or a zero-variance sample silently yields kurtosis=undefined.
emlAuditColumn	eml-extract.praat:1170	eml-extract.praat:129	NOT-APPLICABLE	reached only via the `else` branch of `if .colExists = 0 ... elsif .nRows = 0 ... else` in the same procedure (@emlExtractColumn), so column-not-found (emlAuditColumn's only error) is already excluded.
emlExtractColumn	eml-extract.praat:69	eml-extract.praat:1923	RAISED	propagates to the caller's own .error$ (`.error$ = emlExtractColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlExtractPairedColumns	eml-extract.praat:335	eml-extract.praat:1975	RAISED	propagates to the caller's own .error$ (`.error$ = emlExtractPairedColumns.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlAuditColumn	eml-extract.praat:1170	eml-extract.praat:2470	NOT-APPLICABLE	column names are read from @emlTableColumnNames on the same table immediately before, so emlAuditColumn's only failure mode (column not found) cannot occur.
emlCountGroups	eml-extract.praat:1702	eml-extract.praat:3347	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-extract.praat:3422	RAISED	propagates to the caller's own .error$ (`.error$ = eml_getGroupData.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlGroupFingerprint	eml-extract.praat:3338	eml-extract.praat:3639	RAISED	propagates to the caller's own .error$ (`.error$ = emlGroupFingerprint.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlTTest	eml-inferential.praat:120	eml-inferential.praat:257	RAISED	propagates to the caller's own .error$ (`.error$ = emlTTest.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlTTestPaired	eml-inferential.praat:325	eml-inferential.praat:433	RAISED	propagates to the caller's own .error$ (`.error$ = emlTTestPaired.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_pearsonCore	eml-inferential.praat:600	eml-inferential.praat:702	RAISED	propagates to the caller's own .error$ (`.error$ = eml_pearsonCore.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_pearsonCore	eml-inferential.praat:600	eml-inferential.praat:760	RAISED	propagates to the caller's own .error$ (`.error$ = eml_pearsonCore.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_pearsonCore	eml-inferential.praat:600	eml-inferential.praat:863	RAISED	propagates to the caller's own .error$ (`.error$ = eml_pearsonCore.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlSpearmanCorrelation	eml-inferential.praat:827	eml-inferential.praat:924	RAISED	propagates to the caller's own .error$ (`.error$ = emlSpearmanCorrelation.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlMannWhitneyU	eml-inferential.praat:1092	eml-inferential.praat:1723	RAISED	propagates to the caller's own .error$ (`.error$ = emlMannWhitneyU.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlWilcoxonSignedRank	eml-inferential.praat:1457	eml-inferential.praat:1811	RAISED	propagates to the caller's own .error$ (`.error$ = emlWilcoxonSignedRank.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:2422	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:2427	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:2434	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:2465	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:2537	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-inferential.praat:2540	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlCohenD	eml-inferential.praat:496	eml-inferential.praat:2542	SWALLOWED-SILENT	"`if emlCohenD.error$ = """" ... endif` with no else, inside @emlTukeyHSD's pairwise d-matrix fill — failed cells stay at the zero#() default."
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:2652	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-inferential.praat:2657	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlCountGroups	eml-extract.praat:1702	eml-inferential.praat:2664	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
