producer	producer_file_line	callsite_file_line	verdict	evidence
emlRunTwoGroupAnalysis	stats/eml-analysis.praat:57	scripts/eml-compare-groups.praat:122	RAISED	"123 if emlRunTwoGroupAnalysis.error$ <> \"\"" / "126 @emlErrorDialog: emlRunTwoGroupAnalysis.error$, emlRunTwoGroupAnalysis.remedy$, \"menu\""
emlRunTwoGroupAnalysis	stats/eml-analysis.praat:57	scripts/eml-wizard.praat:467	RAISED	"469 if emlRunTwoGroupAnalysis.error$ <> \"\"" / "472 @emlErrorDialog: emlRunTwoGroupAnalysis.error$, emlRunTwoGroupAnalysis.remedy$, \"wizard\""
emlRunTwoGroupAnalysis	stats/eml-analysis.praat:57	scripts/eml-wizard.praat:484	RAISED	"486 if emlRunTwoGroupAnalysis.error$ <> \"\"" / "489 @emlErrorDialog: emlRunTwoGroupAnalysis.error$, emlRunTwoGroupAnalysis.remedy$, \"wizard\""
emlRunAnovaAnalysis	stats/eml-analysis.praat:313	scripts/eml-compare-k-groups.praat:89	RAISED	"90 if emlRunAnovaAnalysis.error$ <> \"\"" / "93 @emlErrorDialog: emlRunAnovaAnalysis.error$, emlRunAnovaAnalysis.remedy$, \"menu\""
emlRunAnovaAnalysis	stats/eml-analysis.praat:313	scripts/eml-wizard.praat:687	RAISED	"688 if emlRunAnovaAnalysis.error$ <> \"\"" / "691 @emlErrorDialog: emlRunAnovaAnalysis.error$, emlRunAnovaAnalysis.remedy$, \"wizard\""
emlRunKWAnalysis	stats/eml-analysis.praat:569	scripts/eml-compare-kw.praat:129	RAISED	"130 if emlRunKWAnalysis.error$ <> \"\"" / "133 @emlErrorDialog: emlRunKWAnalysis.error$, emlRunKWAnalysis.remedy$, \"menu\""
emlRunKWAnalysis	stats/eml-analysis.praat:569	scripts/eml-wizard.praat:740	RAISED	"742 if emlRunKWAnalysis.error$ <> \"\"" / "745 @emlErrorDialog: emlRunKWAnalysis.error$, emlRunKWAnalysis.remedy$, \"wizard\""
emlRunPairwiseAnalysis	stats/eml-analysis.praat:714	scripts/eml-pairwise.praat:107	RAISED	"108 if emlRunPairwiseAnalysis.error$ <> \"\"" / "111 @emlErrorDialog: emlRunPairwiseAnalysis.error$, emlRunPairwiseAnalysis.remedy$, \"menu\""
emlRunPairwiseAnalysis	stats/eml-analysis.praat:714	scripts/eml-wizard.praat:702	SWALLOWED-DISCLOSED	"704 if emlRunPairwiseAnalysis.error$ <> \"\"" / "705 appendInfoLine: \"NOTE: Post-hoc error — \"" / "706 ... + emlRunPairwiseAnalysis.error$" -- disclosed as a NOTE, not raised via dialog/exitScript; the parent ANOVA result is still reported as significant.
emlRunPairwiseAnalysis	stats/eml-analysis.praat:714	scripts/eml-wizard.praat:709	SWALLOWED-DISCLOSED	"711 if emlRunPairwiseAnalysis.error$ <> \"\"" / "712 appendInfoLine: \"NOTE: Post-hoc error — \"" / "713 ... + emlRunPairwiseAnalysis.error$"
emlRunTwoWayAnalysis	stats/eml-analysis.praat:1565	scripts/eml-compare-twoway.praat:105	RAISED	"106 if emlRunTwoWayAnalysis.error$ <> \"\"" / "109 @emlErrorDialog: emlRunTwoWayAnalysis.error$, emlRunTwoWayAnalysis.remedy$, \"menu\""
emlRunTwoWayAnalysis	stats/eml-analysis.praat:1565	scripts/eml-wizard.praat:831	RAISED	"833 if emlRunTwoWayAnalysis.error$ <> \"\"" / "836 @emlErrorDialog: emlRunTwoWayAnalysis.error$, emlRunTwoWayAnalysis.remedy$, \"wizard\""
emlRunPairedAnalysis	stats/eml-analysis.praat:1653	scripts/eml-compare-paired.praat:182	RAISED	"183 if emlRunPairedAnalysis.error$ <> \"\"" / "186 @emlErrorDialog: emlRunPairedAnalysis.error$, emlRunPairedAnalysis.remedy$, \"menu\""
emlRunPairedAnalysis	stats/eml-analysis.praat:1653	scripts/eml-wizard.praat:1013	RAISED	"1013 @emlRunPairedAnalysis: tableId, column_1$, column_2$, \"parametric\"" checked jointly with the 1021 call at "1025 if emlRunPairedAnalysis.error$ <> \"\"" / "1028 @emlErrorDialog: ..."
emlRunPairedAnalysis	stats/eml-analysis.praat:1653	scripts/eml-wizard.praat:1021	RAISED	"1021 @emlRunPairedAnalysis: tableId, column_1$, column_2$, \"nonparametric\"" / "1025 if emlRunPairedAnalysis.error$ <> \"\"" / "1028 @emlErrorDialog: emlRunPairedAnalysis.error$, emlRunPairedAnalysis.remedy$, \"wizard\""
emlRunCorrelationAnalysis	stats/eml-analysis.praat:1865	scripts/eml-correlate.praat:240	RAISED	"241 if emlRunCorrelationAnalysis.error$ <> \"\"" / "244 @emlErrorDialog: emlRunCorrelationAnalysis.error$, emlRunCorrelationAnalysis.remedy$, \"menu\""
emlRunCorrelationAnalysis	stats/eml-analysis.praat:1865	scripts/eml-wizard.praat:1524	RAISED	"1524 @emlRunCorrelationAnalysis: tableId, corrCol1$, corrCol2$, \"pearson\"" checked jointly with the 1530 call at "1533 if emlRunCorrelationAnalysis.error$ <> \"\"" / "1536 @emlErrorDialog: ..."
emlRunCorrelationAnalysis	stats/eml-analysis.praat:1865	scripts/eml-wizard.praat:1530	RAISED	"1530 @emlRunCorrelationAnalysis: tableId, corrCol1$, corrCol2$, \"spearman\"" / "1533 if emlRunCorrelationAnalysis.error$ <> \"\"" / "1536 @emlErrorDialog: emlRunCorrelationAnalysis.error$, emlRunCorrelationAnalysis.remedy$, \"wizard\""
emlRunDescriptiveAnalysis	stats/eml-analysis.praat:2046	scripts/eml-describe-table.praat:200	RAISED	"201 if emlRunDescriptiveAnalysis.error$ <> \"\"" / "204 @emlErrorDialog: emlRunDescriptiveAnalysis.error$, ... emlRunDescriptiveAnalysis.remedy$, \"menu\""
emlRunDescriptiveAnalysis	stats/eml-analysis.praat:2046	scripts/eml-wizard.praat:1616	RAISED	"1621 if emlRunDescriptiveAnalysis.error$ <> \"\"" / "1624 @emlErrorDialog: emlRunDescriptiveAnalysis.error$, emlRunDescriptiveAnalysis.remedy$, \"wizard\""
emlRunRegressionAnalysis	stats/eml-analysis.praat:2151	scripts/eml-regress.praat:108	RAISED	"109 if emlRunRegressionAnalysis.error$ <> \"\"" / "112 @emlErrorDialog: emlRunRegressionAnalysis.error$, emlRunRegressionAnalysis.remedy$, \"menu\""
emlRunRegressionAnalysis	stats/eml-analysis.praat:2151	scripts/eml-wizard.praat:1372	RAISED	"1373 if emlRunRegressionAnalysis.error$ <> \"\"" / "1376 @emlErrorDialog: emlRunRegressionAnalysis.error$, emlRunRegressionAnalysis.remedy$, \"wizard\""
emlRunRegressionAnalysis	stats/eml-analysis.praat:2151	scripts/eml-wizard.praat:1846	RAISED	"1847 if emlRunRegressionAnalysis.error$ <> \"\"" / "1850 @emlErrorDialog: emlRunRegressionAnalysis.error$, emlRunRegressionAnalysis.remedy$, \"wizard\""
emlRunNormalityAnalysis	stats/eml-analysis.praat:2484	scripts/eml-check-normality.praat:343	SWALLOWED-DISCLOSED	"344 if emlRunNormalityAnalysis.error$ <> \"\"" / "345 appendInfoLine: \"── \", displayCol$, \" ──\"" / "346 appendInfoLine: \"  Error: \", emlRunNormalityAnalysis.error$" -- disclosed inline, not raised as a dialog; the outer column loop simply continues to the next column.
emlRunNormalityAnalysis	stats/eml-analysis.praat:2484	scripts/eml-wizard.praat:1719	RAISED	"1720 if emlRunNormalityAnalysis.error$ <> \"\"" / "1721 @emlErrorDialog: emlRunNormalityAnalysis.error$, ... emlRunNormalityAnalysis.remedy$, \"wizard\""
emlRunRepeatedMeasuresAnalysis	stats/eml-analysis.praat:3196	scripts/eml-wizard.praat:1233	RAISED	"1235 if emlRunRepeatedMeasuresAnalysis.error$ <> \"\"" / "1238 @emlErrorDialog: emlRunRepeatedMeasuresAnalysis.error$, emlRunRepeatedMeasuresAnalysis.remedy$, \"wizard\""
emlRunFriedmanAnalysis	stats/eml-analysis.praat:3392	scripts/eml-wizard.praat:1249	RAISED	"1251 if emlRunFriedmanAnalysis.error$ <> \"\"" / "1254 @emlErrorDialog: emlRunFriedmanAnalysis.error$, emlRunFriedmanAnalysis.remedy$, \"wizard\""
emlExtractColumn	stats/eml-extract.praat:69	scripts/eml-wizard.praat:2622	UNCHECKED	"2622 @emlExtractColumn: .tableId, .col1$" / "2623 if emlExtractColumn.n >= 3" -- gates on .n, never reads .error$; on failure .n=0 so the branch prints "\": too few values\"" (line 2629) instead of the real error.
emlExtractColumn	stats/eml-extract.praat:69	scripts/eml-wizard.praat:2633	UNCHECKED	"2633 @emlExtractColumn: .tableId, .col2$" / "2634 if emlExtractColumn.n >= 3" -- same pattern, .error$ never read.
emlExtractColumn	stats/eml-extract.praat:69	scripts/eml-wizard.praat:2647	UNCHECKED	"2647 @emlExtractColumn: .tableId, .col1$" / "2648 if emlExtractColumn.n >= 3" -- same pattern, .error$ never read; failure prints "\": fewer than 3 valid values\"" (line 2655).
emlExtractPairedColumns	stats/eml-extract.praat:335	scripts/eml-wizard.praat:2601	SWALLOWED-DISCLOSED	"2602 if emlExtractPairedColumns.error$ = \"\"" ... "2614 else" / "2615 appendInfoLine: \"  Error: \"," / "2616 ... emlExtractPairedColumns.error$"
emlCountGroups	stats/eml-extract.praat:1702	scripts/eml-check-normality.praat:155	UNCHECKED	"155 @emlCountGroups: tableId, groupCol$" / "156 .allGroupsOK = 1" then "for iGroup from 1 to emlCountGroups.nGroups" (line 168) -- .error$ never read; on failure (column not found) nGroups=0, the per-group loop runs zero times, and .allGroupsOK stays 1, so the column is reported "no group ... shows a strong departure" as if it had been tested.
emlCountGroups	stats/eml-extract.praat:1702	scripts/eml-correlate.praat:268	UNCHECKED	"268 @emlCountGroups: tableId, groupCol$" / "269 pgTotal = emlCountGroups.nGroups" -- .error$ never read anywhere in the grouped-correlation block; on failure pgTotal=0 and the group loop (line 274) simply runs zero times.
emlCountGroups	stats/eml-extract.praat:1702	scripts/eml-wizard.praat:356	UNCHECKED	"356 @emlCountGroups: tableId, groupCol$" / "357 if emlCountGroups.nGroups <> 2" -- gates on nGroups, not .error$; on failure nGroups=0, so a generic hard-coded dialog fires ("363 @emlErrorDialog: \"Expected 2 groups in ...\" found 0") that never shows the actual error text ("Column not found: ...").
emlCountGroups	stats/eml-extract.praat:1702	scripts/eml-wizard.praat:555	UNCHECKED	"555 @emlCountGroups: tableId, groupCol$" / "556 if emlCountGroups.nGroups < 3" -- same pattern; on failure nGroups=0 falls into the "Fewer than 2 groups" branch (line 564) with a generic message, never emlCountGroups.error$.
emlCountGroups	stats/eml-extract.praat:1702	scripts/eml-wizard.praat:2575	SWALLOWED-DISCLOSED	"2576 if emlCountGroups.error$ <> \"\"" / "2577 appendInfoLine: \"  Error: \", emlCountGroups.error$"
emlCountGroups	stats/eml-extract.praat:1702	scripts/eml-wizard.praat:2824	RAISED	"2825 if emlCountGroups.error$ <> \"\"" / "2826 exitScript: emlCountGroups.error$"
eml_getGroupData	stats/eml-extract.praat:1909	scripts/eml-check-normality.praat:173	UNCHECKED	"173 @eml_getGroupData: tableId, col$, groupCol$, .gLabel$" / "176 if eml_getGroupData.n >= 3" -- gates on .n only; on failure .n=0 so the group is reported "skipped (n < 3)" (line 327) instead of the real error.
eml_getGroupData	stats/eml-extract.praat:1909	scripts/eml-check-normality.praat:466	RAISED	"466 @eml_getGroupData: tableId, qqCol$, groupCol$, qqGroup$" / "467 if eml_getGroupData.error$ <> \"\"" / "468 qqFail$ = eml_getGroupData.error$" -- surfaced via a "Cannot draw this Q-Q plot" dialog at line 504-516.
eml_getGroupData	stats/eml-extract.praat:1909	scripts/eml-wizard.praat:2580	UNCHECKED	"2580 @eml_getGroupData: .tableId, .col1$, .col2$, ..." / "2582 if eml_getGroupData.n >= 3" -- gates on .n, not .error$; failure path (line 2591) prints "\"too few for normality test\"" not the real error.
eml_getGroupData	stats/eml-extract.praat:1909	scripts/eml-wizard.praat:2858	UNCHECKED	"2858 @eml_getGroupData: .tableId, .dataCol$, .groupCol$, .gLabel$[.g]" / "2861 .gN = eml_getGroupData.n" / "2867 @emlDescribe: eml_getGroupData.data#" -- .error$ never read; on failure the empty .data# is fed straight into @emlDescribe and printed as a real descriptive row.
eml_getGroupPairedData	stats/eml-extract.praat:1968	scripts/eml-correlate.praat:277	UNCHECKED	"277 @eml_getGroupPairedData: tableId, colX$, colY$, groupCol$, pgLabel$[pgI]" / "279 pgN[pgI] = eml_getGroupPairedData.n" / "280 if pgN[pgI] >= 3" -- .error$ never read; on failure pgN=0, group is counted into "pgSkipped" and listed as a plain skip, not an error.
eml_getGroupPairedData	stats/eml-extract.praat:1968	scripts/eml-correlate.praat:372	UNCHECKED	"372 @eml_getGroupPairedData: tableId, colX$, colY$, groupCol$, pgLabel$[pgI]" / "376 pgThisN = eml_getGroupPairedData.n" -- .error$ never read; result (.dataX#/.dataY#) used directly regardless of failure.
emlRunLMMAnalysis	stats/eml-lmm.praat:4354	scripts/eml-lmm.praat:78	RAISED	"80 if emlRunLMMAnalysis.error$ <> \"\"" / "83 @emlErrorDialog: emlRunLMMAnalysis.error$, emlRunLMMAnalysis.remedy$, \"menu\""
emlRunLMMAnalysis	stats/eml-lmm.praat:4354	scripts/eml-wizard.praat:1918	RAISED	"1920 if emlRunLMMAnalysis.error$ <> \"\"" / "1923 @emlErrorDialog: emlRunLMMAnalysis.error$, emlRunLMMAnalysis.remedy$, \"wizard\""
emlDrawQQPlot	graphs/eml-draw-qq.praat:152	scripts/eml-check-normality.praat:489	RAISED	"490 if emlDrawQQPlot.drew = 0" / "491 qqFail$ = emlDrawQQPlot.error$" -- surfaced via the "Cannot draw this Q-Q plot" dialog (lines 503-516).
