bucket	id	cell_id	quantity	praat	r	source	enforcement	why	study
DECLARED	D-PTUKEY-MID	c0070	posthoc_mwu__paired_padj	8.608098789331109e-09	8.6080916839037513e-09	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.	options
DECLARED	D-PTUKEY-MID	c0070	posthoc_mwu__welch_padj	4.467722315215639e-06	4.4677223082212336e-06	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.	options
DECLARED	D-PTUKEY	c0070	posthoc_paired__perfect_padj	5.671796365902537e-12	5.6645799162424737e-12	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 0.00127, declared limit 0.005 -- HOLDS	EXTREME-TAIL QUADRATURE, DIAGNOSED 27 AUGUST 2026, AND ENVIRONMENT-DEPENDENT. Both sides evaluate the studentised range distribution. The statistic itself is identical: at cell c0069, pair paired__perfect, q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- the same number. Only the CDF evaluation differs, so the spread is in ptukey's quadrature and nowhere else. It also depends on the Praat build. Against R's 5.6645799162424737e-12, the container returns 5.66435787e-12 (3.9e-5 relative) and the run machine returns 5.671796365902537e-12 (1.27e-3). The bound is 5e-3, set above the wider of the two rather than tuned to either, and asserted below. SCOPED to padj < 1e-9 by vmax. This clause speaks only for the extreme tail, where quadrature error is largest and the absolute difference is nil. A padj disagreement anywhere else is not covered and stays unexplained.	options
DECLARED	D-PTUKEY-MID	c0070	posthoc_perfect__welch_padj	2.7871114083311e-08	2.7871106977883642e-08	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.	options
DECLARED	D-PTUKEY-MID	c0073	posthoc_b__x_padj	2.773738538519588e-06	2.7737385315251828e-06	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.	options
DECLARED	D-PTUKEY-MID	c0074	posthoc_b__x_padj	2.773738538519588e-06	2.7737385315251828e-06	stats::TukeyHSD	BOUND ENFORCED: observed max relative difference 8.25e-07, declared limit 1e-05 -- HOLDS	TIER 2 OF THE ptukey QUADRATURE FAMILY, ruled 27 August 2026. Same diagnosis as D-PTUKEY: the studentised range statistic is bit-identical across Praat builds -- q = 14.123877432410683 on the run machine and 14.12387743241068350 in the reference container -- and the spread lies entirely in the CDF evaluation, which is build-dependent. Scoped to 1e-9 <= padj < 1e-5, where the measured worst relative disagreement is 8.3e-7. The bound is 1e-5: about twelve times that, which is headroom for a third Praat build nobody here has measured, and still five hundred times tighter than the far-tail bound. Above padj 1e-5 no clause applies and the kit default governs, which this run shows it holds. A run exceeding either tier is a finding routed back, never a raise.	options
DECLARED	D-TWOWAY-PRECISION	c0357	voice_type_p	2.5707565751695613e-11	2.5707566066100899e-11	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	task_f	189.629529819376	189.62953068200059	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	task_ss	1092.1626	1092.162604968245	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	task_ms	1092.1626	1092.162604968245	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	voice_type__task_f	2.574861171890235	2.5748611771587049	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	voice_type__task_p	0.11572833361942636	0.115728333257163	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	voice_type__task_ss	14.8297951	14.829795130343484	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	voice_type__task_ms	14.8297951	14.829795130343484	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0357	voice_type__task_partial_eta_squared	0.05528435527456312	0.055284355381427765	effectsize::eta_squared	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task_f	189.629529819376	189.62953068200065	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task_ss	1092.1626	1092.162604968245	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task_ms	1092.1626	1092.162604968245	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	voice_type_p	2.5707565751695613e-11	2.5707566066100534e-11	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task__voice_type_f	2.574861171890235	2.5748611771587107	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task__voice_type_p	0.11572833361942636	0.11572833325716257	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task__voice_type_ss	14.8297951	14.829795130343513	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task__voice_type_ms	14.8297951	14.829795130343513	car::Anova	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-TWOWAY-PRECISION	c0358	task__voice_type_partial_eta_squared	0.05528435527456312	0.055284355381427876	effectsize::eta_squared	BOUND ENFORCED: observed max relative difference 1.22e-08, declared limit 2e-08 -- HOLDS	PRECISION CEILING, NOT A DISAGREEMENT. @emlRunTwoWayAnalysis does not compute the two-way ANOVA: it parses the text of Praat's own 'Report two-way anova', which prints SS to about nine significant digits. Every quantity derived from those sums inherits that ceiling. Measured worst relative disagreement in this run: 1.223e-8, against the 2e-8 bound this clause has carried since 26 August. The bound is asserted below, not assumed.	options
DECLARED	D-WORDING	c0359	refuse_reason	Data column "subject" holds no numbers. 48 cell(s) are not numeric in any locale (row 1: Soprano_1). Unrecognized nonnumeric token; excluded.	data column 'subject' holds no numbers	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0375	refuse_reason	No paired test could be run on these two columns. "soft" and "medium" give n = 4 complete pairs, and every one of those pairs has the same difference, so there is no variation in the differences for a paired test to work on. Paired t-test: All differences are identical (zero variance).	No paired test could be run: n=4 complete pairs and every pair has the same difference (zero variance in the differences).	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0381	refuse_reason	No paired test could be run on these two columns. "SPL_soft" and "SPL_medium" give n = 4 complete pairs, and every one of those pairs has the same difference, so there is no variation in the differences for a paired test to work on. Paired t-test: All differences are identical (zero variance). Assessed on 4 of 5 rows. N excluded 1 -- a row is used only when every column in the comparison has a value, which is what keeps the pairing intact. Treated as missing data.	No paired test could be run: n=4 complete pairs and every pair has the same difference (zero variance in the differences).	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0384	refuse_reason	No paired test could be run on these two columns. "SPL_soft" and "SPL_medium" give n = 6 complete pairs, and every one of those pairs has the same difference, so there is no variation in the differences for a paired test to work on. Paired t-test: All differences are identical (zero variance). Wilcoxon signed-rank: All differences are zero; cannot perform test.	No paired test could be run: n=6 complete pairs and every pair has the same difference (zero variance in the differences).	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0418	refuse_reason	Need at least 3 complete pairs for correlation.	Need at least 3 complete pairs for correlation (found 2).	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0419	refuse_reason	No correlation could be computed. Pearson: One or both variables have zero variance Spearman: One or both variables have zero variance	Zero variance in one column; correlation is undefined.	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0513	refuse_reason	Need at least 3 rows for regression.	Need at least 3 non-missing paired observations (found 2).	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0528	refuse_reason	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0529	refuse_reason	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0530	refuse_reason	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
DECLARED	D-WORDING	c0531	refuse_reason	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	r::refuseCell	PROSE ONLY -- no numeric bound is enforced; this reason cannot detect its own drift	Refusal wording differs between implementations. That the same cells refuse is asserted separately, and does hold: both sides refused 24 cells and neither missed a declared refusal.	options
