# ============================================================================
# recorder_coverage.tsv -- which recorder site emits each public procedure.
#
# Ian Howell -- Embodied Music Lab -- GPL-3.0-or-later
#
# WHY THIS FILE EXISTS. Praat never checks a procedure name that appears
# inside a string, and the recorder decides what to emit by comparing
# strings. A rename that misses a recorder site therefore produces no error:
# the recorder stops matching and the generated user script loses a step.
# RULING_RECORDER_AND_WIRING_2026-09-02.md rules that the recorder's table
# stays hand-kept and A CHECK ASSERTS THE COPIES AGREE. This file is the
# copy; v159 section E is the check.
#
# ROWS COME FROM THE MEASURED CENSUS,
# mailbox/to-fable/REPORT_RECORDER_COVERAGE_2026-09-01.md, which Fable
# accepted in that ruling. Each row names the site that emits the procedure
# and how the census established it: 'live' means a recorded session
# produced the call, 'code-trace' means the emitting site was read.
#
# STATUS: live | code-trace | EXEMPT. An EXEMPT row is not reachable from
# the recorder and carries its reason in reason_or_site.
#
# EMITTING FILE FILLED FOR 13 DRAWING ROWS, 2 September. The census writes
# a bare ":848" for a row in the same file as the row above it, and the
# first extraction carried that shorthand through as an empty filename, so
# the check could not test those rows. The file is graphs/eml-draw-procedures.praat,
# inherited from emlDrawF0Contour; each of the 13 names was confirmed present
# in it by grep before the field was filled.
#
# THE RENAME PASS MUST UPDATE THIS FILE. A renamed procedure changes its
# registry_name here too, and section E fails until it does.
# ============================================================================
registry_name	emitting_file	emitting_line	status	reason_or_site	evidence
emlClearAnnotations	stats/eml-record.praat	2302, 5056	live	stats/eml-record.praat:2302, 5056	recorded.praat:43
emlDrawAnnotations	stats/eml-record.praat	2286	code-trace	stats/eml-record.praat:2286	Only emitted with annotation brackets on; none of this session's ops enabled them
emlDrawAnnotationBlock	stats/eml-record.praat	2296	code-trace	stats/eml-record.praat:2296	Same reason as #37
emlReportContext	stats/eml-record.praat	5348	live	stats/eml-record.praat:5348	recorded.praat:339 and before every analysis step
emlRecordReplayName	stats/eml-record.praat	5354	code-trace	stats/eml-record.praat:5354	Only emitted after a read-then-rename; fixture builds its table in-process
emlRecordReplaySave	stats/eml-record.praat	5312-5313	code-trace	stats/eml-record.praat:5312-5313 (rewrite), :5527 (procedure)	Save panel is an interactive dialog, not reachable via runScript:+form:
emlRecordReplayRead	stats/eml-record.praat	1825	code-trace	stats/eml-record.praat:1825	Only emitted for a recorded file-read; fixture never reads a file
emlDemoTable	scripts/eml-create-demo.praat	101	code-trace	scripts/eml-create-demo.praat:101	Fixture builds its table directly, not through eml-create-demo.praat
emlRunPairwiseAnalysis	stats/eml-analysis.praat	1545	live	stats/eml-analysis.praat:1545	recorded.praat:456 -- refusal path; the fixture passed a bad test string, the hook fired and recorded the refusal
emlRunPairedAnalysis	stats/eml-analysis.praat	3028	live	stats/eml-analysis.praat:3028	recorded.praat:464 -- refusal path; the fixture's two columns are identical, which is fixture data rather than a defect
emlRunGroupedRegressionAnalysis	stats/eml-analysis.praat	(end of procedure, after the per-group report)	live	stats/eml-analysis.praat, `@emlRecordAnalysisStep` guarded call added by this pass, same shape as the ungrouped sibling `emlRunRegressionAnalysis`	stats/eml-record.praat emlRecordColumnSpec, new `emlRunGroupedRegressionAnalysis` entry ("2=predictorCol 3=outcomeCol 4=groupCol")
emlDrawQQPlot	scripts/eml-check-normality.praat	(success branch of the Draw Q-Q plot call site)	live	scripts/eml-check-normality.praat, `@emlRecordDrawStep` guarded call added by this pass, plus an identical hook at scripts/eml-wizard.praat's own Q-Q call site (:3199 area) -- NOT inside @emlDrawQQPlot itself, which takes .data# already extracted and has no .objectId; hooked at each caller instead, using the still-selected Table. See either call site's comment for why .code$ rebuilds the vector instead of naming `data`, and why this deviates from every other draw procedure's shape. Not exercised against a live Praat run -- verified by inspection only, not replayed.	stats/eml-record.praat emlRecordColumnSpec, new `emlDrawQQPlot` entry with an explicit empty .spec$ (see that branch's comment for why no column role is claimed)
emlRunReliabilityAnalysis	stats/eml-analysis.praat	4273	live	stats/eml-analysis.praat:4273 -- guarded @emlRecordAnalysisStep below the end label; was EXEMPT until 3 Sep 2026 on the ground that the stub's entry could only ever emit a refusal comment, which the rebuilt doorway ended. It now emits a replayable @emlRunReliabilityAnalysis call with the item vector spelled out.	probed live through the door chain, 3 Sep 2026
emlRunCategoricalAnalysis	stats/eml-analysis.praat	4623	live	stats/eml-analysis.praat:4623 -- guarded @emlRecordAnalysisStep below the end label; the step's detail line says `weighted by <col>` when .countCol$ is named.	probed live through the door chain, 3 Sep 2026
emlRunProportionAnalysis	stats/eml-analysis.praat	4942	live	stats/eml-analysis.praat:4942 -- guarded @emlRecordAnalysisStep below the end label.	probed live through the door chain, 3 Sep 2026
