# ==========================================================================
# REGISTRY — EML Stats & Graphs public procedure surface
# Compiled: 2026-09-01  |  42 rows (2026-09-02: emlRunLMMAnalysis's row
# removed for 1.0 -- see the correction below)
# Ruling: mailbox/to-opus/RULING_PUBLIC_SURFACE_2026-09-01.md
# Correction (2026-09-01, Fable): emlRunReliabilityAnalysis's row removed --
# "Table S2 documents working public surface; an unconditional-error stub is
# not surface." It matches the emlRun* name pattern, so removing it moved it
# onto validate/v155_public_registry.R's erosion-check exclusion list rather
# than off the boundary silently -- see that file's RUN_EXCLUSIONS.
# Correction (2026-09-02, Ian, RULING_REGISTRY_VERDICTS_2026-09-01.md section
# 1): emlRunLMMAnalysis's row removed for the same mechanism -- implemented
# and validated, but its menu entry and the wizard's mixed-model page are
# both withdrawn, so it is public by the emlRun* name pattern alone. Public
# again post-1.0 when a door reaches it. Moved onto the same
# RUN_EXCLUSIONS list, its own entry.
#
# A procedure is public if and only if it has a row in this file. Membership
# is by INTENT, not reachability — Praat's `include` makes all procedures
# matching eml[A-Z]... reachable from any script that includes the tree, and
# reachability is therefore not the test. This file is the curated decision.
#
# Columns: name | file | signature | description | sources
#
#   name         The procedure's real name, as spelled in `procedure name:`.
#   file         Defining file, plugin-relative (plugin_EML_StatsGraphs/...).
#   signature    The REAL signature, read from the procedure definition
#                itself — never inferred from a call site. Verify against
#                the file before trusting an old copy of this row.
#   description  One-line, curated.
#   sources      Which of the ruling's three seed sources admitted this row,
#                by number, any combination, comma-separated:
#                  1 = one of the 15 emlRun* entry points (name-pattern test)
#                  2 = a user-facing drawing/graph entry point (menu or
#                      wizard door presents it as an operation)
#                  3 = the recorder (stats/eml-record.praat) emits a literal
#                      call to this procedure into a generated user script
#                A row can carry more than one source; this is the audit
#                trail for why the boundary sits where it does, not a
#                ranking. See the compiling agent's report for the full
#                trace, including one row originally admitted by source 1
#                alone whose wiring toward source 2/3 exists on the page but
#                cannot fire (emlRunLMMAnalysis's menu entry and wizard page
#                are withdrawn). The 2026-09-01 compilation kept it in on
#                the ruling's name-pattern test for source 1, which is
#                explicitly NOT a reachability test; Ian's 2026-09-02 ruling
#                (RULING_REGISTRY_VERDICTS_2026-09-01.md section 1) took it
#                back out for 1.0 regardless, the same correction applied to
#                emlRunReliabilityAnalysis below, and for the same reason:
#                public by name pattern with no door reaching it is not
#                Table S2's documented working surface. Both are named on
#                the erosion check's exclusion list so removing them here
#                does not read as erosion of the emlRun* boundary.
#                emlRunReliabilityAnalysis, the other source-1-alone case, is
#                NOT kept in: it is an unimplemented stub (v1.2 item 7) with
#                no real call site anywhere, so it never reaches Table S2 as
#                documented public surface that cannot succeed (Fable's
#                correction above). It is instead named on the erosion
#                check's exclusion list so removing it here does not read as
#                erosion of the emlRun* boundary.
#
# THIS FILE IS HAND-COMPILED, NOT YET GENERATED. The ruling's mechanism item
# 3 (docs, the barrel and Table S2 generated FROM this file, with a text
# check that they match) is not built; validate/v155_public_registry.R's
# "generation check" reports that honestly rather than passing vacuously.
# Regenerating this file's derived columns (file, signature) mechanically
# from source is future work — see dev/tools/reg-extract-procedures.py for
# the existing procedure-census instrument this could be built on, though
# procs.json there is presently stale relative to the live tree and must
# not be trusted without a fresh run.
#
# Kernels stay INTERNAL even where a sophisticated user could legitimately
# call them (emlCholeskySolveMulti and kin; the survey kernels emlCronbachAlpha,
# emlAlphaInfluence, emlChiSquareIndependence, emlWilsonInterval; the graph
# dialog orchestrators emlGraphsWorkflow / emlGraphsDispatchDraw). A kernel
# enters this file only by a deliberate future decision, never by default.
# ==========================================================================

name	file	signature	description	sources
emlDrawSpectrum	graphs/eml-draw-procedures.praat	procedure emlDrawSpectrum: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .fMin, .fMax, .pMin, .pMax	Spectrum figure (EML Graphs type 3) for a Spectrum object.	2,3
emlDrawLTAS	graphs/eml-draw-procedures.praat	procedure emlDrawLTAS: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .fMin, .fMax, .pMin, .pMax, .showCurve, .showBars, .showPoles, .showSpeckles	Long-term average spectrum figure (EML Graphs type 4) for an Ltas object.	2,3
emlDrawTimeSeries	graphs/eml-draw-procedures.praat	procedure emlDrawTimeSeries: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .timeCol$, .valueCol$, .groupCol$, .tMin, .tMax, .vMin, .vMax	Line chart of a value over time, optionally grouped (EML Graphs type 5, no confidence band).	2,3
emlDrawTimeSeriesCI	graphs/eml-draw-procedures.praat	procedure emlDrawTimeSeriesCI: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .timeCol$, .valueCol$, .groupCol$, .tMin, .tMax, .vMin, .vMax	Line chart of a value over time with a confidence band (EML Graphs type 5, "Show CI" on).	2,3
emlDrawBarChart	graphs/eml-draw-procedures.praat	procedure emlDrawBarChart: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .groupCol$, .valueCol$, .errorMode, .errorCol$, .vMin, .vMax	Bar chart of a value by group, with a chosen error-bar mode (EML Graphs type 6).	2,3
emlDrawViolinPlot	graphs/eml-draw-procedures.praat	procedure emlDrawViolinPlot: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .groupCol$, .valueCol$, .vMin, .vMax	Violin plot of a value by group (EML Graphs type 7).	2,3
emlDrawScatterPlot	graphs/eml-draw-procedures.praat	procedure emlDrawScatterPlot: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .colX$, .colY$, .groupCol$, .xMin, .xMax, .yMin, .yMax, .annotate	Scatter plot of two numeric columns, optionally grouped and annotated (EML Graphs type 8).	2,3
emlDrawBoxPlot	graphs/eml-draw-procedures.praat	procedure emlDrawBoxPlot: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .groupCol$, .valueCol$, .vMin, .vMax	Box plot of a value by group (EML Graphs type 9).	2,3
emlDrawHistogram	graphs/eml-draw-procedures.praat	procedure emlDrawHistogram: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .valueCol$, .groupCol$, .binCount, .displayMode, .vMin, .vMax, .freqMax	Histogram of one numeric column, optionally grouped (EML Graphs type 10).	2,3
emlDrawGroupedViolin	graphs/eml-draw-procedures.praat	procedure emlDrawGroupedViolin: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .catCol$, .subCol$, .valueCol$, .vMin, .vMax	Violin plot of a value by two nested categorical columns (EML Graphs type 11).	2,3
emlDrawGroupedBoxPlot	graphs/eml-draw-procedures.praat	procedure emlDrawGroupedBoxPlot: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .catCol$, .subCol$, .valueCol$, .vMin, .vMax	Box plot of a value by two nested categorical columns (EML Graphs type 12).	2,3
emlDrawSpaghettiPlot	graphs/eml-draw-procedures.praat	procedure emlDrawSpaghettiPlot: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .condCol$, .valueCol$, .idCol$, .groupCol$, .showMean, .vMin, .vMax	Spaghetti plot of one subject-per-line series across repeated conditions (EML Graphs type 13).	2,3
emlDrawQQPlot	graphs/eml-draw-qq.praat	procedure emlDrawQQPlot: .data#, .colLabel$, .vpW, .vpH, .colorMode$, .gridMode	Normal Q-Q plot for one numeric vector; an adapter computing Blom quantiles onto the shared scatter machinery. Drawn directly from the normality-check door and the wizard, not through the EML Graphs type dispatch — and, unlike the thirteen graph types, never recorded (no recorder hook of any kind wraps its call sites).	2
emlRunAnnotationComparison	graphs/eml-annotation-procedures.praat	procedure emlRunAnnotationComparison: .tableId, .dataCol$, .factorCol$, .alpha, .style$, .showNS, .showEffect, .testType$, .layoutMode	Runs the group-comparison test (t-test/Mann-Whitney/ANOVA/Kruskal-Wallis, with Tukey/Dunn) behind a figure's statistical-annotation brackets — the second path to the same statistics as the stats menu, reached from a figure's "annotate" toggle instead of a menu command. Found only by tracing the recorder; matches no emlRun* or emlDraw* naming convention.	3
emlReshapeSeriesLong	graphs/eml-graph-procedures.praat	procedure emlReshapeSeriesLong: .objectId, .timeCol$, .cols$	Reshapes several wide measurement columns into the long (time, series, value) table the time-series drawing layer is drawn from.	3
emlReshapeSeriesWide	graphs/eml-graph-procedures.praat	procedure emlReshapeSeriesWide: .objectId, .timeCol$, .valueCol$, .nameCol$, .levels$	The mirror of emlReshapeSeriesLong — pivots a stacked (time, name, value) table into wide series columns for a two-axis time-series figure.	3
emlCleanConvertedTable	graphs/eml-graph-procedures.praat	procedure emlCleanConvertedTable: .tableId	Replaces the "?" placeholders Praat's `To Table: "row"` writes for empty row/column labels, after a TableOfReal/Matrix -> Table auto-conversion done for drawing.	3
emlBeginPanel	graphs/eml-graph-procedures.praat	procedure emlBeginPanel: .originX, .originY, .erase	Opens a drawing panel at a page origin, erasing first if asked. The one implementation both the interactive graphs dialog and a recorded/replayed script call, so a replayed page is built by the same code that built the original.	3
emlInitializeDrawingDefaults	graphs/eml-graph-procedures.praat	procedure emlInitializeDrawingDefaults	Initializes every rendering global to its default; the precondition every emlDraw* orchestrator assumes. Emitted unconditionally at the top of every recorder-generated script.	3
emlClearAnnotations	graphs/eml-annotation-procedures.praat	procedure emlClearAnnotations	Clears the figure-annotation state (brackets, text, matrix counters) before a draw. Emitted at the top of every recorder-generated script and again after each annotated figure's tail.	3
emlDrawAnnotations	graphs/eml-annotation-procedures.praat	procedure emlDrawAnnotations: .xMin, .xMax, .yDataMax, .yRange, .bracketColor$, .fontSize, .axYMin, .axYMax	Draws the comparison brackets a figure's statistical annotation adds. Emitted by the recorder as part of the tail of a recorded bar/violin/box/grouped-violin/grouped-box draw step that had annotation brackets on.	3
emlDrawAnnotationBlock	graphs/eml-annotation-procedures.praat	procedure emlDrawAnnotationBlock: .corner$, .xMin, .xMax, .yMin, .yMax, .fontSize	Draws the omnibus-test text block in a figure corner. Emitted alongside emlDrawAnnotations in the same recorded tail.	3
emlReportContext	stats/eml-output.praat	procedure emlReportContext: .analysis$, .adjustment$	Sets the "from:" provenance line an analysis report prints. The recorder emits a call to this before every recorded analysis step, so a replayed report is labelled as coming from a recorded script rather than a menu press.	3
emlRecordReplayName	stats/eml-record.praat	procedure emlRecordReplayName: .name$	Renames the just-read object back to the name the recording session gave it. Emitted after a recorded "read" step whose object was subsequently renamed.	3
emlRecordReplaySave	stats/eml-record.praat	procedure emlRecordReplaySave: .offerFigure, .stem$, .folder$, .formats$	The non-interactive twin of the Save panel — writes a figure and/or results set under a fresh timestamp with no dialog. The recorder rewrites every recorded @emlSavePanel call to this one before emitting it, so emlSavePanel itself is never the literal text a generated script carries.	3
emlRecordReplayRead	stats/eml-record.praat	procedure emlRecordReplayRead: .path$	Reopens the file a recording session read from, choosing the reader by file extension, with no file-chooser dialog. Emitted for every recorded "read" step.	3
emlDemoTable	stats/eml-demo-tables.praat	procedure emlDemoTable: .demoType, .seed	Builds one of the plugin's seven synthetic voice-science demo Tables from a seed. Also reachable from the "Create Demo Table..." menu door (a table-creation utility, not a drawing/graph operation, so not counted under source 2 here — see report); emitted by the recorder as a "create" step so a session that started from a demo table can rebuild it verbatim.	3
